\,\,28\,6\,36\,\,\,7\,13\,15\,20\,30\,\,\
\,24\6,,,,20\,\16,,,,,,37\,\
\35,,,,,,10\36,,,,,,,11\
\17,,,\11,,,,,15\33,,,,,
\16,,,7\23,,,,31\6,,,30\19,,,
\,\10,,,,,10\28,,,,,10\12,,
\,10\,35\10,,,30\6,,,,10\10,,,,
\16,,,,3\24,,,,6\30,,,,,\
\12,,,6\10,,,\10,,,,,23\,35\,\
\17,,,,,,24\10,,,10\24,,,,11\
\10,,,,25\15,,,18\4,,,10\16,,,
\,\9,,,,8\10,,,\32,,,,,
\,\,37\,9\29,,,,,10\5,,,23\9,,
\,11\15,,,,,12\7,,,,24\13,,,
\29,,,,,32\24,,,,30\10,,,33\,\
\10,,,11\14,,,,,10\29,,,,,6\
\6,,,,24\10,,,23\24,,,,\10,,
\28,,,,,,10\21,,,,,16\8,,
\,\23,,,,,,,\20,,,,,
\,\,\35,,,,,,\,\23,,,,\
